path	class	owner	disposition
.agents/docs/README.md	skill:internal	S13	wording check; no version literal expected
.agents/generated/consumer-skills/.claude/skills/aspire/SKILL.md	skill:dogfood-bundle	S9	regenerate via agentic:dogfood-skills
.agents/generated/consumer-skills/.claude/skills/help.md	skill:dogfood-bundle	S9	regenerate via agentic:dogfood-skills
.agents/generated/consumer-skills/.claude/skills/netscript-build/SKILL.md	skill:dogfood-bundle	S9	regenerate via agentic:dogfood-skills
.agents/generated/consumer-skills/.claude/skills/netscript-operate/SKILL.md	skill:dogfood-bundle	S9	regenerate via agentic:dogfood-skills
.agents/generated/consumer-skills/.claude/skills/netscript/SKILL.md	skill:dogfood-bundle	S9	regenerate via agentic:dogfood-skills
.agents/generated/consumer-skills/AGENTS.md	skill:dogfood-bundle	S9	regenerate via agentic:dogfood-skills
.agents/skills/aspire/SKILL.md	skill:internal-aspire	S9	derived from skills/aspire (OF-1a) + agentic:sync-claude
.agents/skills/codex-wsl-remote/SKILL.md	skill:internal	S13	replace 13.3.0 toolchain snapshot with toolchain.env reference
.agents/skills/netscript-cli/commands.md	skill:internal	S13	wording check; no version literal expected
.agents/skills/netscript-cli/maintainer-cli.md	skill:internal	S13	wording check; no version literal expected
.agents/skills/netscript-cli/SKILL.md	skill:internal	S13	wording check; no version literal expected
.agents/skills/netscript-pr/SKILL.md	skill:internal	archival	exempt — historical branch-name example
.agents/skills/README.md	skill:internal	S13	wording check; no version literal expected
.github/CODEOWNERS	ci:other	S1	toolchain.env pins / templates mention; parity phase 1 enforce for toolchain.env
.github/ISSUE_TEMPLATE/bug_report.yml	ci:other	S1	toolchain.env pins / templates mention; parity phase 1 enforce for toolchain.env
.github/ISSUE_TEMPLATE/feature_request.yml	ci:other	S1	toolchain.env pins / templates mention; parity phase 1 enforce for toolchain.env
.github/labels.yml	ci:other	S1	toolchain.env pins / templates mention; parity phase 1 enforce for toolchain.env
.github/pull_request_template.md	ci:other	S1	toolchain.env pins / templates mention; parity phase 1 enforce for toolchain.env
.github/scripts/aspire-nuget-cache-policy.test.ts	ci:policy-test	S1	single-train assertions; parity phase 1 enforce
.github/toolchain.env	ci:other	S1	toolchain.env pins / templates mention; parity phase 1 enforce for toolchain.env
.github/workflows/ci.yml	ci:workflow	S1	single 13.5.3 train, cache key, preflight; parity phase 1 enforce
.github/workflows/e2e-cli-prod-local.yml	ci:workflow	S1	single 13.5.3 train, cache key, preflight; parity phase 1 enforce
.github/workflows/e2e-cli-prod.yml	ci:workflow	S1	single 13.5.3 train, cache key, preflight; parity phase 1 enforce
.github/workflows/e2e-cli.yml	ci:workflow	S1	single 13.5.3 train, cache key, preflight; parity phase 1 enforce
.llm/2026-07-31-fix-954-aspire-app-health-probe.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/2026-08-04-openapi-mcp-wave0-proofs.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/2026-08-31-sdk-browser-full-key-normalization.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/2026-09-01-workers-registry-compiler-parity.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/assets/agent-docs/provenance.json	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/devtools-rfc-orchestrator-brief.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/archetypes/ARCHETYPE-2-integration.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/archetypes/ARCHETYPE-3-runtime-behavior.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/archetypes/ARCHETYPE-5-plugin.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/archetypes/ARCHETYPE-6-cli-tooling.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/archetypes/ARCHETYPE-7-deploy-target-adapter.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/archetypes/README.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/archetypes/SCOPE-service.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/debt/arch-debt.md	archival:debt-registry	archival	exempt — dated debt entries are historical evidence; S1/S2/S4 append/update their own entries (Browsers preview, CommunityToolkit Deno, otel discovery) without rewriting older ones
.llm/harness/gates/archetype-gate-matrix.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/gates/README.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/gates/release-gates.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/gates/runtime-gates.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/templates/milestone-cluster-state.json	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/harness/workflow/milestone-reporting.md	harness-doc	archival	exempt — harness process/lesson docs or generated corpus input (agent-docs corpus is regenerated by S11)
.llm/runs/research-aspire-13.5-adoption--0.0.7/slices/s5/repair/drift.md	archival:this-run	archival	exempt — this research run (plan, research, drafts, verbatim sources, receipts, evaluator verdicts) is protected evidence; parity reports info only
.llm/runs/research-aspire-13.5-adoption--0.0.7/slices/s5/repair/worklog.md	archival:this-run	archival	exempt — this research run (plan, research, drafts, verbatim sources, receipts, evaluator verdicts) is protected evidence; parity reports info only
